,frequency,index,word
0,-11.861918,0,<unknown>
1,-1.8294227,1,how
2,-1.8527658,2,many
3,-6.2821884,3,trains
4,-1.1061034,4,are
5,-1.5224049,5,in
6,0.0,6,the
7,-2.881873,7,picture
8,-0.1178422,8,is
9,-1.221411,9,this
10,-1.5265517,10,a
11,-7.7187843,11,fancy
12,-9.028706,12,supermarket
13,-0.6728971,13,what
14,-1.866308,14,color
15,-3.7108738,15,cat
16,-2.9194582,16,'s
17,-7.407572,17,fur
18,-3.6262934,18,kind
19,-1.8345778,19,of
20,-3.4890583,20,animal
21,-6.212944,21,watching
22,-2.0087254,22,there
23,-11.861918,23,papais
24,-1.6367829,24,on
25,-4.2103233,25,table
26,-5.7934933,26,different
27,-7.256748,27,foods
28,-7.6278124,28,persons
29,-10.763307,29,headwear
30,-3.2400053,30,person
31,-3.9720852,31,doing
32,-4.76437,32,snow
33,-7.7187843,33,doll
34,-7.585253,34,kitten
35,-6.2935743,35,toy
36,-3.7002585,36,dog
37,-6.161475,37,waiting
38,-4.715147,38,hand
39,-4.7159348,39,looking
40,-3.9306343,40,at
41,-4.410097,41,tennis
42,-4.8435173,42,ball
43,-3.2232163,43,or
44,-4.6689844,44,frisbee
45,-4.360285,45,girl
46,-9.664694,46,dragging
47,-4.879984,47,behind
48,-4.553376,48,her
49,-5.7888746,49,girls
50,-6.5487127,50,coat
51,-6.090478,51,dressed
52,-3.9224036,52,for
53,-5.495448,53,weather
54,-5.0397215,54,boat
55,-5.3926687,55,moving
56,-3.6996877,56,they
57,-4.3865795,57,standing
58,-6.174943,58,sand
59,-3.066034,59,it
60,-4.775181,60,sunny
61,-3.4881346,61,woman
62,-6.0750217,62,fork
63,-4.413003,63,eating
64,-4.5394087,64,she
65,-5.7155895,65,drinking
66,-6.324585,66,beer
67,-4.336279,67,with
68,-5.2000647,68,meal
69,-4.0299044,69,bus
70,-6.2784224,70,metal
71,-5.1748104,71,fence
72,-4.9908276,72,vehicle
73,-4.327691,73,shown
74,-5.39112,74,vase
75,-8.566082,75,transparent
76,-9.153869,76,opaque
77,-5.541151,77,mirror
78,-5.080861,78,pictured
79,-4.939275,79,horses
80,-3.7383611,80,animals
81,-6.799324,81,handle
82,-6.252447,82,luggage
83,-4.671997,83,fruit
84,-4.711218,84,top
85,-4.0283184,85,right
86,-6.5889187,86,corner
87,-6.305091,87,breakfast
88,-6.7086267,88,dinner
89,-4.020426,89,food
90,-5.657361,90,healthy
91,-4.478551,91,background
92,-4.3630495,92,where
93,-6.97157,93,probably
94,-7.8916273,94,headed
95,-5.592823,95,season
96,-4.48104,96,was
97,-3.4074528,97,photo
98,-4.37755,98,taken
99,-6.385455,99,recently
100,-9.296969,100,judging
101,-4.5440426,101,from
102,-6.241518,102,dress
103,-5.2966537,103,","
104,-10.763307,104,latin
105,-6.5736513,105,american
106,-5.7888746,106,country
107,-3.7404387,107,green
108,-6.737955,108,stuff
109,-3.9418356,109,that
110,-4.642277,110,elephant
111,-10.763307,111,poo
112,-4.4527826,112,ground
113,-3.8201845,113,train
114,-5.159959,114,cars
115,-4.991865,115,did
116,-9.377012,116,conductor
117,-9.464024,117,steal
118,-6.305091,118,letters
119,-4.781893,119,front
120,-11.168772,120,papayas
121,-4.943224,121,giraffes
122,-4.710434,122,here
123,-3.829234,123,can
124,-3.7239387,124,be
125,-4.967249,125,seen
126,-6.1416073,126,if
127,-4.9929047,127,someone
128,-7.18909,128,set
129,-5.455039,129,fire
130,-4.6887274,130,would
131,-9.377012,131,burn
132,-8.643043,132,quickly
133,-3.008968,133,wearing
134,-6.5148115,134,socks
135,-4.4413404,135,being
136,-7.0336046,136,advertised
137,-8.198357,137,sets
138,-6.9131584,138,suitcases
139,-3.2032263,139,white
140,-3.963508,140,an
141,-4.2334013,141,plane
142,-7.642411,142,flight
143,-8.770876,143,tip
144,-6.33249,144,tail
145,-2.6495807,145,does
146,-3.2002795,146,have
147,-6.5889187,147,short
148,-4.884638,148,hair
149,-4.6704893,149,grass
150,-6.393859,150,stuffed
151,-4.691799,151,image
152,-3.83379,152,any
153,-2.8189328,153,people
154,-5.11786,154,camera
155,-4.9692774,155,bike
156,-10.070159,156,signpost
157,-4.9187965,157,bench
158,-4.1151857,158,made
159,-4.90252,159,could
160,-6.454747,160,passenger
161,-7.8545856,161,boarding
162,-7.6278124,162,primary
163,-4.358078,163,bathroom
164,-7.4551992,164,rolls
165,-4.6299086,165,toilet
166,-5.7593603,166,paper
167,-8.1007185,167,tank
168,-6.068905,168,shower
169,-6.680135,169,curtain
170,-6.205927,170,drink
171,-5.3108387,171,glass
172,-6.5487127,172,trash
173,-5.913884,173,match
174,-6.3484898,174,gender
175,-3.8185766,175,water
176,-6.0388727,176,carrying
177,-2.500748,177,man
178,-7.467469,178,belt
179,-4.989791,179,who
180,-4.516554,180,has
181,-5.9430246,181,big
182,-4.7569532,182,one
183,-4.6849003,183,car
184,-5.937663,184,parked
185,-5.378812,185,by
186,-6.8380384,186,meter
187,-7.431102,187,put
188,-8.427932,188,money
189,-6.454747,189,graffiti
190,-8.011771,190,toaster
191,-5.187358,191,real
192,-3.1030352,192,these
193,-6.818494,193,vases
194,-4.5527067,194,same
195,-4.0216064,195,shirt
196,-5.83364,196,wheels
197,-5.0408115,197,skateboard
198,-5.3122683,198,surfing
199,-7.8014755,199,sex
200,-8.198357,200,african
201,-5.4851923,201,sandwich
202,-4.212226,202,sitting
203,-4.2314577,203,plate
204,-4.320236,204,look
205,-10.070159,205,disgusting
206,-9.559334,206,dollar
207,-10.475624,207,bills
208,-3.97659,208,his
209,-5.6334076,209,face
210,-4.031891,210,playing
211,-6.0212774,211,having
212,-5.6373606,212,good
213,-4.553376,213,time
214,-5.8983393,214,meat
215,-7.7030354,215,topping
216,-4.1023045,216,pizza
217,-6.3688574,217,things
218,-5.5777845,218,hanging
219,-4.548032,219,wall
220,-4.237788,220,which
221,-3.672397,221,room
222,-5.065095,222,both
223,-5.3194466,223,next
224,-2.9178908,224,to
225,-4.627742,225,giraffe
226,-5.919119,226,word
227,-11.861918,227,upper-left
228,-5.046279,228,window
229,-10.763307,229,translate
230,-6.743925,230,english
231,-6.2200117,231,why
232,-4.576412,232,street
233,-5.2299175,233,clean
234,-5.5375595,234,daytime
235,-6.6201715,235,depicted
